,Okres
599,Hlavní město Praha
600,NA
601,NA
602,NA
603,NA
604,NA
605,Plzeň-město
606,Plzeň-město
607,NA
608,NA
609,Nový Jičín
610,Nový Jičín
611,Třebíč
612,Třebíč
613,Litoměřice
614,Jičín
615,Jičín
616,Jičín
617,NA
618,NA
619,Znojmo
620,Chomutov
621,Chomutov
622,Chomutov
623,"Brno-venkov
 Praha-východ"
624,Frýdek-Místek
625,Cheb
626,Hlavní město Praha
627,Hlavní město Praha
628,NA
629,Sokolov
630,"Blansko
 Benešov"
631,"Blansko
 Benešov"
632,"Blansko
 Benešov"
633,Hlavní město Praha
634,Karviná
635,Hlavní město Praha
636,Hlavní město Praha
637,Hlavní město Praha
638,Hlavní město Praha
639,Hlavní město Praha
640,Hlavní město Praha
641,Kladno
642,Brno-město
643,Brno-město
644,Brno-město
645,NA
646,NA
647,NA
648,NA
649,NA
650,Náchod
651,Náchod
652,Náchod
653,NA
654,NA
655,Strakonice
656,Strakonice
657,Strakonice
658,Strakonice
659,NA
660,NA
661,NA
662,Hlavní město Praha
663,Hlavní město Praha
664,Hlavní město Praha
665,Hlavní město Praha
666,Hlavní město Praha
667,Hlavní město Praha
668,Hlavní město Praha
669,České Budějovice
670,Kladno
671,Kladno
672,Karlovy Vary
673,Karlovy Vary
674,Karlovy Vary
675,Karlovy Vary
676,Karlovy Vary
677,Karlovy Vary
678,NA
679,NA
680,NA
681,NA
682,NA
683,NA
684,Ústí nad Orlicí
685,Ústí nad Orlicí
686,Česká Lípa
687,Česká Lípa
688,Plzeň-jih
689,Ostrava-město
690,NA
691,Hradec Králové
692,Hradec Králové
693,NA
694,NA
695,NA
696,NA
697,NA
698,Písek
699,NA
700,Karlovy Vary
701,Hlavní město Praha
702,Prostějov
703,Prostějov
704,"Jindřichův Hradec
        Česká Lípa"
705,"Jindřichův Hradec
        Česká Lípa"
706,"Jindřichův Hradec
        Česká Lípa"
707,Hlavní město Praha
708,Hlavní město Praha
709,NA
710,NA
711,NA
712,NA
713,NA
714,Plzeň-město
715,Plzeň-město
