NAZEV,OKRES,KRAJ
Dambořice,Hodonín,Jihomoravský kraj
Damnice,Znojmo,Jihomoravský kraj
Damníkov,Ústí nad Orlicí,Pardubický kraj
Darkovice,Opava,Moravskoslezský kraj
Daskabát,Olomouc,Olomoucký kraj
Dasnice,Sokolov,Karlovarský kraj
Dasný,České Budějovice,Jihočeský kraj
Davle,Praha-západ,Středočeský kraj
Dašice,Pardubice,Pardubický kraj
Dačice,Jindřichův Hradec,Jihočeský kraj
Daňkovice,Žďár nad Sázavou,Kraj Vysočina
Deblín,Brno-venkov,Jihomoravský kraj
Dehtáře,Pelhřimov,Kraj Vysočina
Desná,Svitavy,Pardubický kraj
Desná,Jablonec nad Nisou,Liberecký kraj
Dešenice,Klatovy,Plzeňský kraj
Dešná,Jindřichův Hradec,Jihočeský kraj
Dešná,Zlín,Zlínský kraj
Dešov,Třebíč,Kraj Vysočina
Deštnice,Louny,Ústecký kraj
Deštná,Blansko,Jihomoravský kraj
Deštná,Jindřichův Hradec,Jihočeský kraj
Deštné v Orlických horách,Rychnov nad Kněžnou,Královéhradecký kraj
Divec,Hradec Králové,Královéhradecký kraj
Divišov,Benešov,Středočeský kraj
Diváky,Břeclav,Jihomoravský kraj
Dlažkovice,Litoměřice,Ústecký kraj
Dlažov,Klatovy,Plzeňský kraj
Dlouhomilov,Šumperk,Olomoucký kraj
Dlouhopolsko,Nymburk,Středočeský kraj
Dlouhoňovice,Ústí nad Orlicí,Pardubický kraj
Dlouhá Brtnice,Jihlava,Kraj Vysočina
Dlouhá Lhota,Blansko,Jihomoravský kraj
Dlouhá Lhota,Tábor,Jihočeský kraj
Dlouhá Lhota,Příbram,Středočeský kraj
Dlouhá Lhota,Mladá Boleslav,Středočeský kraj
Dlouhá Loučka,Svitavy,Pardubický kraj
Dlouhá Loučka,Olomouc,Olomoucký kraj
Dlouhá Stráň,Bruntál,Moravskoslezský kraj
Dlouhá Třebová,Ústí nad Orlicí,Pardubický kraj
Dlouhá Ves,Havlíčkův Brod,Kraj Vysočina
Dlouhá Ves,Klatovy,Plzeňský kraj
Dlouhé,Žďár nad Sázavou,Kraj Vysočina
Dlouhý Most,Liberec,Liberecký kraj
Dlouhý Újezd,Tachov,Plzeňský kraj
Dnešice,Plzeň-jih,Plzeňský kraj
Dobelice,Znojmo,Jihomoravský kraj
Dobev,Písek,Jihočeský kraj
Dobkovice,Děčín,Ústecký kraj
Dobratice,Frýdek-Místek,Moravskoslezský kraj
Dobrkovice,Zlín,Zlínský kraj
Dobrná,Děčín,Ústecký kraj
Dobrochov,Prostějov,Olomoucký kraj
Dobrohošť,Jindřichův Hradec,Jihočeský kraj
Dobromilice,Prostějov,Olomoucký kraj
Dobroměřice,Louny,Ústecký kraj
Dobronice u Bechyně,Tábor,Jihočeský kraj
Dobronín,Jihlava,Kraj Vysočina
Dobroslavice,Opava,Moravskoslezský kraj
Dobroutov,Jihlava,Kraj Vysočina
Dobrovice,Mladá Boleslav,Středočeský kraj
Dobrovítov,Kutná Hora,Středočeský kraj
Dobrovíz,Praha-západ,Středočeský kraj
Dobročkovice,Vyškov,Jihomoravský kraj
Dobročovice,Praha-východ,Středočeský kraj
Dobruška,Rychnov nad Kněžnou,Královéhradecký kraj
Dobršín,Klatovy,Plzeňský kraj
Dobrá,Frýdek-Místek,Moravskoslezský kraj
Dobrá Voda,Žďár nad Sázavou,Kraj Vysočina
Dobrá Voda,Pelhřimov,Kraj Vysočina
Dobrá Voda u Hořic,Jičín,Královéhradecký kraj
Dobrá Voda u Pacova,Pelhřimov,Kraj Vysočina
Dobrá Voda u Českých Budějovic,České Budějovice,Jihočeský kraj
Dobrčice,Přerov,Olomoucký kraj
Dobré,Rychnov nad Kněžnou,Královéhradecký kraj
Dobré Pole,Břeclav,Jihomoravský kraj
Dobšice,Nymburk,Středočeský kraj
Dobšice,České Budějovice,Jihočeský kraj
Dobšice,Znojmo,Jihomoravský kraj
Dobšín,Mladá Boleslav,Středočeský kraj
Dobřany,Rychnov nad Kněžnou,Královéhradecký kraj
Dobřany,Plzeň-jih,Plzeňský kraj
Dobřejovice,Praha-východ,Středočeský kraj
Dobřenice,Hradec Králové,Královéhradecký kraj
Dobřeň,Mělník,Středočeský kraj
Dobřichov,Kolín,Středočeský kraj
Dobřichovice,Praha-západ,Středočeský kraj
Dobříkov,Ústí nad Orlicí,Pardubický kraj
Dobřínsko,Znojmo,Jihomoravský kraj
Dobřív,Rokycany,Plzeňský kraj
Dobříš,Příbram,Středočeský kraj
Dobříč,Praha-západ,Středočeský kraj
Dobříč,Plzeň-sever,Plzeňský kraj
Dobříň,Litoměřice,Ústecký kraj
Dohalice,Hradec Králové,Královéhradecký kraj
Doksany,Litoměřice,Ústecký kraj
