,Name,Year,Price,Mileage,Engine,Gearbox,Body,Location
5541,"Mercedes-Benz Třída S, S 500 Long, Burmester,",2014,1 199 990 Kč,69 000 km,"Benzín, 335 kW",Automatická,sedan,Středočeský
5542,"Rolls-Royce Silver Spirit, 6.75L, V8",1985,249 990 Kč,147 000 km,"Benzín, 160 kW",Automatická,limuzína,Středočeský
5543,"Seat Ibiza, 1.2i, 12V, 83 PS, ČR, 5.dv.",2008,49 990 Kč,190 000 km,"Benzín, 51 kW",Manuální,hatchback,Středočeský
5544,"Mercedes-Benz SL, SL 500, V8, facelift,",2002,379 990 Kč,138 000 km,"Benzín, 225 kW",Automatická,kabriolet,Středočeský
5545,"Mercedes-Benz SL, 55 AMG, V max 330, 500PS",2003,469 990 Kč,216 000 km,"Benzín, 368 kW",Automatická,kabriolet,Středočeský
5546,"Mitsubishi Colt, 1.2i, 5.dv. nová STK",2006,29 990 Kč,244 000 km,"Benzín, 55 kW",,hatchback,Středočeský
5547,"MINI Cooper, 2.0T, 260 PS, navi, panorama",2017,529 990 Kč,48 000 km,"Benzín, 191 kW",Manuální,hatchback,Středočeský
5548,"Volkswagen Transporter, 2.5TDi LONG odpočet DPH",2009,199 000 Kč,384 719 km,"Nafta, 128 kW",Manuální,MPV,Karlovarský
5549,"BMW Řada 1, 118d",2010,149 000 Kč,206 954 km,"Nafta, 105 kW",Manuální,hatchback,Karlovarský
5550,"Škoda Rapid, 1.2 TSI 77kW Ambition Fresh Sp",2014,255 000 Kč,82 000 km,"Benzín, 77 kW",Manuální,kombi,Vysočina
5551,"Škoda Rapid, 1.2 TSI 77 KW -  PRODÁNO",,0 Kč,115 266 km,"Benzín, 77 kW",,hatchback,Královéhradecký
5552,"Škoda Rapid, 1.2TSi Digi Klima Bluetooth",2014,235 000 Kč,115 342 km,"Benzín, 63 kW",Manuální,hatchback,
5553,"BMW Řada 3, 318d",2015,319 000 Kč,172 000 km,"Nafta, 110 kW",Automatická,kombi,Liberecký
5554,"BMW Řada 5, 530d AC Schnitzer,NEZ.TOPENÍ,",2006,209 000 Kč,285 000 km,"Nafta, 170 kW",Automatická,kombi,Karlovarský
5555,"Mercedes-Benz Třída C, C 200 CDi Classic / TAŽNÉ",2001,49 900 Kč,275 571 km,"Nafta, 85 kW",Manuální,kombi,Plzeňský
5556,"Audi Q5, 2.0 TDI  QUATTRO NAVI",2011,379 000 Kč,147 000 km,"Nafta, 105 kW",Manuální,kombi,Moravskoslezský
5557,"Renault Scenic, 1,9DCi 88kW autoklima,6rychlos",2005,47 000 Kč,132 000 km,"Nafta, 88 kW",Manuální,MPV,Praha
5558,"BMW X6, 3.0 xDrive40d 225kW",2011,474 000 Kč,215 200 km,"Nafta, 225 kW",Automatická,SUV,Praha
5559,"Toyota Avensis, 1,8i 108kW,navi,kamera,servisk",2010,228 600 Kč,156 000 km,"Benzín, 108 kW",Manuální,kombi,Jihočeský
5560,"Volkswagen Golf Plus, 1.6 TDI 77kW STYLE ZÁRUKA AŽ",2012,208 000 Kč,103 376 km,"Nafta, 77 kW",Manuální,hatchback,Jihočeský
5561,"Volkswagen Touran, 2.0 TDI 103 KW COMFORTLINE ZÁ",2012,318 000 Kč,149 545 km,"Nafta, 103 kW",Manuální,MPV,Jihočeský
